web-scraper-order;web-scraper-start-url;match;match-href;Bookmakers: 22;Bookie;Home;Draw;Away;Home_team;Away_team
1572692187-15317;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;AS Roma-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/as-roma-sampdoria/SrzKE2yO/;;;1.36;4.95;8.25;AS Roma;Sampdoria
1572692271-15822;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Genoa-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/genoa-inter/GphxbDe8/;;;3.38;3.09;2.39;Genoa;Inter
1572691677-12015;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Juventus-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/juventus-lazio/4It67jgH/;;;1.54;4.10;6.20;Juventus;Lazio
1572691831-13049;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Cagliari-Verona;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/cagliari-verona/IcSCwFZC/;null;null;1.81;3.80;4.45;Cagliari;Verona
1572691500-10863;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Chievo-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/chievo-lazio/djl6NmRO/;;;3.80;3.40;1.91;Chievo;Lazio
1572692418-16726;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Benevento-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/benevento-cagliari/M7Ua7EUj/;;;2.20;3.39;3.29;Benevento;Cagliari
1572692169-15219;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Spal-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/spal-inter/reATY5Mu/;;;6.40;3.86;1.64;Spal;Inter
1572692640-18193;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Fiorentina-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/fiorentina-napoli/Q9nFA5c4/;;;7.30;4.35;1.47;Fiorentina;Napoli
1572692682-18472;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Genoa-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/genoa-fiorentina/6T7lP4Cc/;;;3.70;3.45;1.98;Genoa;Fiorentina
1572692297-15973;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;AC Milan-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/ac-milan-sampdoria/p0MxwCJr/;;;1.65;3.80;5.50;AC Milan;Sampdoria
1572692601-17918;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Udinese-Crotone;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/udinese-crotone/2eFhg4ST/;null;null;2.01;3.30;4.15;Udinese;Crotone
1572692411-16692;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Lazio-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/lazio-bologna/tOmrUyx4/;;;1.30;5.40;10.50;Lazio;Bologna
1572691917-13566;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Sampdoria-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/sampdoria-lazio/IFPVGIr4/;null;null;3.60;3.80;1.95;Sampdoria;Lazio
1572692698-18584;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Verona-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/verona-udinese/E7K0Iger/;;;7.00;4.70;1.44;Verona;Udinese
1572692158-15155;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Sassuolo-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/sassuolo-atalanta/6ZYNDMjU/;;;3.09;3.23;2.48;Sassuolo;Atalanta
1572692425-16778;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Sassuolo-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/sassuolo-napoli/U7pDXArd/;;;7.50;4.33;1.40;Sassuolo;Napoli
1572691496-10839;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Crotone-Verona;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/crotone-verona/beSlnX3P/;;;2.75;3.20;2.62;Crotone;Verona
1572692550-17590;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Bologna-Verona;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/bologna-verona/KAhvh0o8/;;;1.58;4.00;6.00;Bologna;Verona
1572692459-17008;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Udinese-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/udinese-fiorentina/G2FFSO0a/;;;3.50;3.20;2.30;Udinese;Fiorentina
1572691624-11650;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Sassuolo-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/sassuolo-bologna/CODyd2ll/;;;2.16;3.32;4.02;Sassuolo;Bologna
1572691651-11851;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Torino-Verona;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/torino-verona/MytR6J26/;;;1.30;5.50;9.00;Torino;Verona
1572691890-13402;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Lazio-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/lazio-fiorentina/jPmfLCIh/;null;null;1.74;4.10;5.15;Lazio;Fiorentina
1572692698-18588;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Verona-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/verona-udinese/E7K0Iger/;;;6.75;4.76;1.40;Verona;Udinese
1572692601-17930;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Udinese-Crotone;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/udinese-crotone/2eFhg4ST/;null;null;1.95;3.20;4.35;Udinese;Crotone
1572692708-18657;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Fiorentina-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/fiorentina-cagliari/bc1WZLQF/;;;1.51;4.22;5.87;Fiorentina;Cagliari
1572692172-15237;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Napoli-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/napoli-bologna/nXIMFrMH/;;;1.20;7.00;15.00;Napoli;Bologna
1572692017-14221;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Udinese-Verona;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/udinese-verona/nygAz4uf/;;;1.73;3.90;5.00;Udinese;Verona
1572692179-15275;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Fiorentina-Verona;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/fiorentina-verona/EJKEH4i5/;;;1.23;6.00;12.00;Fiorentina;Verona
1572692595-17876;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Sassuolo-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/sassuolo-fiorentina/fVBpeQcH/;null;null;2.89;3.20;2.50;Sassuolo;Fiorentina
