start;url;match;href;Bookmakers: 21;Bookie;Home;Draw;Away;Home_team;Away_team
1572703922-31924;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Udinese-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/udinese-juventus/I9fxuQ0p/;null;null;5.49;3.44;1.83;Udinese;Juventus
1572703913-31860;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Torino-Frosinone;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/torino-frosinone/UqbtvpGj/;null;null;1.30;5.45;10.00;Torino;Frosinone
1572703982-32333;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Atalanta-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/atalanta-sassuolo/IuepR3y9/;;;2.40;3.20;3.30;Atalanta;Sassuolo
1572704455-35614;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Empoli-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/empoli-bologna/Y3iG4PsL/;null;null;2.35;3.25;3.20;Empoli;Bologna
1572704263-34235;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Napoli-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/napoli-genoa/bexSLNHJ/;null;null;1.24;5.95;12.75;Napoli;Genoa
1572703358-28180;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Fiorentina-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/fiorentina-genoa/dK9WlXgS/;;;1.67;3.70;5.00;Fiorentina;Genoa
1572704147-33411;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Empoli-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/empoli-as-roma/E5yVezbc/;;;4.00;3.40;2.05;Empoli;AS Roma
1572703568-29561;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Lazio-Torino;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/lazio-torino/6D7SPvwj/;null;null;1.95;3.50;4.33;Lazio;Torino
1572703892-31727;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Torino-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/torino-empoli/ShR5lwYt/;;;1.99;3.30;4.10;Torino;Empoli
1572703537-29364;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Genoa-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/genoa-chievo/GOhpD1gp/;;;2.05;3.20;3.60;Genoa;Chievo
