match;date;result;Home_team;Away_team
Verona-AS Roma;22/02/2015;01-gen;Verona;AS Roma
Udinese-Atalanta;26/10/2014;2-0;Udinese;Atalanta
Inter-Verona;09/11/2014;02-feb;Inter;Verona
Inter-Udinese;07/12/2014;01-feb;Inter;Udinese
Cesena-Juventus;15/02/2015;02-feb;Cesena;Juventus
Parma-Sampdoria;18/01/2015;0-2;Parma;Sampdoria
Torino-Sampdoria;01/02/2015;05-gen;Torino;Sampdoria
Fiorentina-Sampdoria;04/04/2015;2-0;Fiorentina;Sampdoria
Parma-Verona;24/05/2015;02-feb;Parma;Verona
Udinese-Genoa;02/11/2014;02-apr;Udinese;Genoa
Atalanta-AS Roma;22/11/2014;01-feb;Atalanta;AS Roma
Palermo-Sassuolo;13/12/2014;02-gen;Palermo;Sassuolo
Cesena-Lazio;01/02/2015;02-gen;Cesena;Lazio
AS Roma-Inter;30/11/2014;04-feb;AS Roma;Inter
Palermo-Cagliari;06/01/2015;5-0;Palermo;Cagliari
Empoli-Atalanta;30/11/2014;0-0;Empoli;Atalanta
Verona-Cagliari;04/10/2014;1-0;Verona;Cagliari
Sampdoria-Udinese;21/12/2014;02-feb;Sampdoria;Udinese
Verona-Atalanta;25/01/2015;1-0;Verona;Atalanta
Chievo-Empoli;28/09/2014;01-gen;Chievo;Empoli
