"","match","mean_home_odd","mean_draw_odd","mean_away_odd","max_home_odd","max_draw_odd","max_away_odd","result","date","p1mean","p2mean","pxmean","p1max","p2max","pxmax","esito"
"370","Napoli-AC Milan",1.61826086956522,3.94217391304348,5.56478260869565,1.67,4.1,6,"3-2","25/08/2018",0.617947340139709,0.179701539182749,0.253667144590272,0.598802395209581,0.166666666666667,0.24390243902439,"1"
"371","Spal-Sassuolo",2.46521739130435,3.1795652173913,3.00782608695652,2.7,3.28,3.25,"0-2","27/09/2018",0.405643738977072,0.332466030644695,0.31450840968139,0.37037037037037,0.307692307692308,0.304878048780488,"2"
"372","Empoli-Udinese",2.02869565217391,3.36260869565217,3.81782608695652,2.08,3.51,4.1,"2-1","11/11/2018",0.492927561080155,0.261929165243139,0.297388156193432,0.480769230769231,0.24390243902439,0.284900284900285,"1"
"373","AC Milan-Empoli",1.44863636363636,4.36863636363636,7.49,1.5,4.52,8.5,"3-0","22/02/2019",0.690304361468467,0.133511348464619,0.228904380397461,0.666666666666667,0.117647058823529,0.221238938053097,"1"
"374","Frosinone-Bologna",3.34,3.01913043478261,2.37434782608696,3.54,3.12,2.45,"0-0","26/08/2018",0.29940119760479,0.421168284197033,0.331221198156682,0.282485875706215,0.408163265306122,0.32051282051282,"X"
"375","Bologna-Genoa",2.36363636363636,3.09272727272727,3.27090909090909,2.46,3.2,3.54,"1-1","10/02/2019",0.423076923076924,0.305725403001668,0.323339212228101,0.40650406504065,0.282485875706215,0.3125,"X"
"376","Inter-Lazio",2.49909090909091,3.19136363636364,2.96545454545455,2.64,3.32,3.22,"0-1","31/03/2019",0.400145507457257,0.337216431637032,0.313345677253952,0.378787878787879,0.31055900621118,0.301204819277108,"2"
"377","AS Roma-Juventus",2.65454545454545,3.42272727272727,2.60454545454545,2.91,3.6,2.73,"2-0","12/05/2019",0.376712328767124,0.383944153577662,0.292164674634794,0.343642611683849,0.366300366300366,0.277777777777778,"1"
"378","Napoli-Cagliari",1.21772727272727,6.88181818181818,11.8459090909091,1.27,7.65,13.5,"2-1","05/05/2019",0.821201941022771,0.0844173285752657,0.145310435931308,0.78740157480315,0.0740740740740741,0.130718954248366,"1"
"379","Cagliari-Bologna",2.09695652173913,3.14391304347826,3.89521739130435,2.25,3.25,4.36,"2-0","06/10/2018",0.476881608957081,0.25672508092421,0.318074955054626,0.444444444444444,0.229357798165138,0.307692307692308,"1"
