start;url;match;href;Bookmakers: 22;Bookmakers: 22;Home;Draw;Away;Home_team;Away_team
1572701901-27195;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Bologna-Pescara;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/bologna-pescara/f3TwQAHa/;;;1.67;4.32;5.29;Bologna;Pescara
1572701832-26750;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;AS Roma-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/as-roma-lazio/CKkIaE3f/;;;1.92;3.60;3.75;AS Roma;Lazio
1572701887-27090;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Palermo-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/palermo-genoa/0t84BB26/;;;3.70;3.10;2.12;Palermo;Genoa
1572701187-22612;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Fiorentina-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/fiorentina-sassuolo/dxq0DIF3/;;;1.65;4.20;6.00;Fiorentina;Sassuolo
1572701415-24054;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Juventus-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/juventus-inter/2DGZsF24/;;;1.62;3.60;6.40;Juventus;Inter
1572700808-20141;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Palermo-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/palermo-juventus/Gl8bxyDa/;;;15.21;6.56;1.25;Palermo;Juventus
1572700764-19814;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Inter-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/inter-juventus/4fnrTHHe/;;;4.33;3.40;1.90;Inter;Juventus
1572701365-23733;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Lazio-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/lazio-chievo/6mCrP0dP/;;;1.50;4.20;8.50;Lazio;Chievo
1572701397-23943;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Cagliari-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/cagliari-bologna/dIUi2wkC/;;;2.38;3.30;3.25;Cagliari;Bologna
1572701177-22547;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Cagliari-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/cagliari-napoli/n719je8j/;;;6.50;4.75;1.45;Cagliari;Napoli
